DELIVERY_PERSON_NAME,EMPLOYMENT_TYPE,VEHICLE_TYPE,TOTAL_DELIVERIES,AVG_DELAY,AVG_RATING,ON_TIME_RATE
Ayesha Sama,CONTRACT,VAN,80,0.48,4.00,62.50
Amani Srinivas,FULL-TIME,EV BIKE,98,0.46,3.99,63.27
Reyansh Yogi,FULL-TIME,EV BIKE,89,0.44,4.10,64.04
Abram Sankaran,FULL-TIME,VAN,129,0.50,4.01,62.02
Kartik Korpal,FULL-TIME,BIKE,74,0.43,4.04,62.16
Prisha Apte,FULL-TIME,BIKE,118,0.43,4.01,64.41
Shray Bal,CONTRACT,EV BIKE,93,0.42,4.11,66.67
Priyansh Sarna,FULL-TIME,SCOOTER,92,0.59,3.84,54.35
Anaya Kadakia,CONTRACT,VAN,123,0.50,3.94,60.16
Oorja Krish,CONTRACT,SCOOTER,108,0.43,4.01,68.52
Gokul Chakraborty,CONTRACT,BIKE,97,0.45,4.01,62.89
Kashvi Bumb,FULL-TIME,VAN,113,0.50,3.90,57.52
Zeeshan Shanker,CONTRACT,BIKE,86,0.40,3.97,68.60
Ivan Venkatesh,FULL-TIME,VAN,122,0.43,4.01,68.03
Rhea Grover,CONTRACT,EV BIKE,101,0.53,4.00,62.38
Dhanush Datta,CONTRACT,BIKE,91,0.59,3.85,59.34
Vritika Dutt,FULL-TIME,EV BIKE,110,0.42,4.03,68.18
Madhup Goyal,FULL-TIME,SCOOTER,134,0.46,3.94,63.43
Saksham Kari,FULL-TIME,SCOOTER,86,0.48,3.96,63.95
Heer Srinivasan,CONTRACT,EV BIKE,81,0.38,4.12,69.14
Ela Tak,FULL-TIME,BIKE,121,0.44,3.98,68.60
Mishti Karpe,FULL-TIME,SCOOTER,123,0.53,3.90,60.98
Himmat Bassi,CONTRACT,SCOOTER,114,0.33,4.15,71.93
Rasha Arora,FULL-TIME,VAN,114,0.51,3.94,63.16
Sara Uppal,FULL-TIME,VAN,95,0.44,4.00,65.26
Advik Anne,CONTRACT,SCOOTER,114,0.33,4.06,76.32
Farhan Bhatt,CONTRACT,VAN,94,0.32,4.19,74.47
Chirag Dhar,FULL-TIME,VAN,130,0.48,3.90,64.62
Amira Comar,FULL-TIME,BIKE,129,0.53,3.85,62.02
Seher Warrior,FULL-TIME,BIKE,120,0.38,4.11,70.00
Vardaniya Rajan,CONTRACT,VAN,102,0.45,4.00,65.69
Zain Garg,FULL-TIME,VAN,127,0.43,3.98,65.35
Ayesha Bakshi,CONTRACT,EV BIKE,87,0.52,3.90,60.92
Nishith Shah,FULL-TIME,VAN,119,0.43,4.09,66.39
Advika Datta,CONTRACT,EV BIKE,87,0.56,3.78,57.47
Bhavin Tandon,FULL-TIME,EV BIKE,103,0.52,3.87,61.17
Purab Wadhwa,CONTRACT,EV BIKE,107,0.47,3.92,64.49
Samar Banik,FULL-TIME,SCOOTER,122,0.50,3.95,62.30
Gokul Dara,CONTRACT,VAN,127,0.39,4.08,67.72
Yasmin Kata,FULL-TIME,BIKE,124,0.44,4.02,63.71
Lagan Deep,FULL-TIME,VAN,88,0.33,4.20,72.73
Biju Dhingra,CONTRACT,VAN,130,0.43,4.02,64.62
Shray Arora,CONTRACT,BIKE,117,0.46,4.00,64.10
Ishita Korpal,CONTRACT,EV BIKE,104,0.43,4.00,64.42
Yakshit Ramesh,CONTRACT,SCOOTER,102,0.46,4.01,62.75
Pihu Baral,FULL-TIME,EV BIKE,126,0.52,3.91,62.70
Shray Sem,CONTRACT,EV BIKE,104,0.38,4.04,70.19
Faiyaz Mani,CONTRACT,BIKE,94,0.50,3.95,65.96
Yuvaan Basu,CONTRACT,BIKE,104,0.48,3.96,64.42
